rank,factor,total_refs,as_cause,as_effect,transcripts
1456,water supply improvement,2,1,1,2
1457,water supply service adequacy,2,0,2,1
1458,water supply source expansion,2,2,0,1
1459,water system continuity,2,0,2,1
1460,water table,2,1,1,1
1461,water table decline,2,2,0,2
1462,water table level,2,1,1,1
1463,water technician staffing,2,1,1,1
1464,water treatment chemical distribution,2,1,1,1
1465,water treatment cost,2,1,1,2
1466,water treatment practices,2,0,2,1
1467,water treatment technology,2,2,0,2
1468,water use associations,2,2,0,1
1469,water user committee executive corruption,2,1,1,1
1470,water waste,2,0,2,2
1471,water well functionality,2,0,2,1
1472,water well location viability,2,1,1,1
1473,water well sustainability,2,0,2,1
1474,water-borne disease prevention,2,0,2,2
1475,water/sanitation program implementation,2,0,2,1
1476,waterborne disease incidence,2,0,2,1
1477,wise water use,2,0,2,1
1478,women development groups,2,2,0,1
1479,woreda administration capacity,2,2,0,1
1480,woreda financial capacity,2,2,0,2
1481,woreda water office monitoring capacity,2,0,2,1
1482,work plan implementation capacity,2,0,2,1
1483,work quality,2,0,2,1
1484,worker responsibility,2,1,1,1
1485,youth spare parts associations,2,2,0,1
1486,ASAL conditions,1,1,0,1
1487,Abay River water quality,1,0,1,1
1488,African Development Bank funding,1,1,0,1
1489,African Development Bank support,1,1,0,1
1490,Awash River as water source,1,1,0,1
1491,Beresa River connection to water pipeline,1,1,0,1
1492,CBO political connections,1,1,0,1
1493,CDO outreach effectiveness,1,0,1,1
1494,CDO problem reporting capacity,1,0,1,1
1495,CDO-Whave Solutions communication,1,1,0,1
1496,CDO-Whave collaboration,1,0,1,1
1497,CIDP alignment with partner proposals,1,1,0,1
1498,CLTS effectiveness,1,0,1,1
1499,COVID-19 pandemic,1,1,0,1
1500,CSO engagement,1,1,0,1
1501,County Integrated Development Plan,1,1,0,1
1502,County Water Act,1,1,0,1
1503,EIA sector monitoring of industries,1,1,0,1
1504,Environmental Protection Sector presence at city level,1,1,0,1
1505,First Impact Methodology training,1,1,0,1
1506,Fundfix model,1,1,0,1
1507,FundiFix adoption,1,1,0,1
1508,FundiFix integration before NGO exit,1,1,0,1
1509,FundiFix network expansion,1,1,0,1
1510,FundiFix rapid failure response,1,1,0,1
1511,FundiFix response time,1,1,0,1
1512,FundiFix spare parts access,1,1,0,1
1513,Fundifix community reporting system,1,1,0,1
1514,Fundifix doing rehabilitation,1,1,0,1
1515,Fundifix financial autonomy,1,1,0,1
1516,Fundifix funding,1,1,0,1
1517,Fundifix geographic coverage,1,1,0,1
1518,Fundifix maintenance liability,1,0,1,1
1519,GO-NGO coordination,1,1,0,1
1520,IRC WASH advocacy,1,1,0,1
1521,IRC partnership,1,1,0,1
1522,Jinka University,1,1,0,1
1523,KEWI technical training,1,1,0,1
1524,KIWASH performance improvement plan,1,1,0,1
1525,KIWASH program,1,1,0,1
1526,KIWASH program extension,1,1,0,1
1527,Learning Alliance,1,1,0,1
1528,Learning Alliance participation,1,1,0,1
1529,M&E facilitation funding,1,0,1,1
1530,MCA-county officer role agreement,1,1,0,1
1531,MHM facilities in latrines,1,1,0,1
1532,MPESA paybill fund access,1,1,0,1
1533,Mazegaja sector planning,1,1,0,1
1534,Ministry of Water oversight,1,1,0,1
1535,NGO alignment with county vision,1,1,0,1
1536,NGO and bilateral organization involvement,1,1,0,1
1537,NGO and donor funding,1,1,0,1
1538,NGO and government intervention,1,0,1,1
1539,NGO and partner contributions,1,1,0,1
1540,NGO and private sector involvement,1,1,0,1
1541,NGO and stakeholder collaboration,1,1,0,1
1542,NGO and water office coordination,1,1,0,1
1543,NGO awareness campaigns,1,1,0,1
1544,NGO budget,1,1,0,1
1545,NGO collaboration with community mobilization unit,1,1,0,1
1546,NGO commitment to community education,1,1,0,1
1547,NGO consultation with regional water bureau,1,1,0,1
1548,NGO cooperation,1,1,0,1
1549,NGO cooperation in materials and spare parts,1,1,0,1
1550,NGO coordination and reporting,1,0,1,1
1551,NGO deployment of technical experts,1,1,0,1
1552,NGO direct construction of water schemes,1,1,0,1
1553,NGO donor accountability,1,1,0,1
1554,NGO emergency focus,1,1,0,1
1555,NGO engagement in urban water development,1,1,0,1
1556,NGO engagement in water and sanitation,1,0,1,1
1557,NGO financial and technical support,1,1,0,1
1558,NGO financial support,1,1,0,1
1559,NGO funding proposals,1,1,0,1
1560,NGO geographic dispersion,1,1,0,1
1561,NGO investment in water projects,1,1,0,1
1562,NGO involvement,1,1,0,1
1563,NGO involvement of woreda water office in project implementation,1,1,0,1
1564,NGO linkage to local institutions,1,1,0,1
1565,NGO material and equipment support,1,1,0,1
1566,NGO material transport for water schemes,1,0,1,1
1567,NGO mobilization,1,1,0,1
1568,NGO participation,1,1,0,1
1569,NGO participation in coordination meetings,1,1,0,1
1570,NGO participation in water projects,1,1,0,1
1571,NGO partnership,1,1,0,1
1572,NGO presence,1,1,0,1
1573,NGO program alignment,1,0,1,1
1574,NGO project fit,1,0,1,1
1575,NGO project implementation quality,1,0,1,1
1576,NGO project withdrawal,1,1,0,1
1577,NGO technical and financial support,1,1,0,1
1578,NGO-community coordination,1,1,0,1
1579,NGO-provided training for associations,1,1,0,1
1580,NGO-regional government relationship,1,0,1,1
1581,NGO-water office coordination,1,1,0,1
1582,NGO/partner support,1,1,0,1
1583,O&M cost recovery,1,0,1,1
1584,O&M costs,1,1,0,1
1585,O&M equipment availability,1,0,1,1
1586,O&M funding,1,0,1,1
1587,O&M planning at project inception,1,1,0,1
1588,O&M revenue,1,0,1,1
1589,O&M service coverage,1,0,1,1
1590,O&M skills,1,0,1,1
1591,O&M training,1,1,0,1
1592,ODF kebele creation,1,0,1,1
1593,ODF program targets,1,1,0,1
1594,One-WASH program performance,1,0,1,1
1595,PCPD programs,1,1,0,1
1596,PIC compensation,1,1,0,1
1597,PVCA methodology,1,1,0,1
1598,RRU coverage area,1,1,0,1
1599,Red Cross spare parts provision,1,1,0,1
1600,Regional Water Bureau geological studies,1,1,0,1
1601,SLTS program,1,1,0,1
1602,Symbiosis approach implementation,1,1,0,1
1603,TVET graduate hiring,1,1,0,1
1604,TVET invitation for capacity development,1,1,0,1
1605,TVET sector participation,1,0,1,1
1606,TVET-water sector coordination,1,1,0,1
1607,Tanathi funding,1,1,0,1
1608,Trade sector license enforcement,1,1,0,1
1609,Transform WASH program implementation,1,0,1,1
1610,Urban Sanitation Committee,1,1,0,1
1611,WASH Coordination Office geological study,1,1,0,1
1612,WASH Forum networking,1,1,0,1
1613,WASH Forum partnership,1,1,0,1
1614,WASH Forums,1,1,0,1
1615,WASH activity execution,1,0,1,1
1616,WASH activity implementation,1,0,1,1
1617,WASH actor coordination,1,1,0,1
1618,WASH and livelihood service progress,1,0,1,1
1619,WASH awareness,1,0,1,1
1620,WASH awareness campaign through media,1,1,0,1
1621,WASH budget allocation,1,0,1,1
1622,WASH cluster coordination,1,1,0,1
1623,WASH cluster coordination office,1,1,0,1
1624,WASH committee awareness,1,1,0,1
1625,WASH committee chair workload,1,1,0,1
1626,WASH committee coordination,1,1,0,1
1627,WASH committee institutionalization,1,1,0,1
1628,WASH committee maintenance self-sufficiency,1,0,1,1
1629,WASH committee management capacity,1,1,0,1
1630,WASH committee mandate clarity,1,1,0,1
1631,WASH committee performance,1,0,1,1
1632,WASH committee practical exposure,1,1,0,1
1633,WASH committee quarterly performance evaluation,1,1,0,1
1634,WASH committee restructuring,1,1,0,1
1635,WASH committee support,1,1,0,1
1636,WASH committee training,1,1,0,1
1637,WASH community worker empowerment,1,1,0,1
1638,WASH coordination effectiveness,1,0,1,1
1639,WASH coordination framework,1,0,1,1
1640,WASH coordination office autonomy,1,1,0,1
1641,WASH coordination office dependency on regional water bureau,1,1,0,1
1642,WASH coordination office effectiveness,1,0,1,1
1643,WASH coordination office management,1,1,0,1
1644,WASH coordinator,1,1,0,1
1645,WASH coordinator support,1,1,0,1
1646,WASH enterprise business management approach,1,1,0,1
1647,WASH facility functionality in schools and health facilities,1,0,1,1
1648,WASH facility utilization,1,0,1,1
1649,WASH financial resources,1,0,1,1
1650,WASH forum best practice sharing,1,1,0,1
1651,WASH forum information sharing,1,1,0,1
1652,WASH forum networking,1,1,0,1
1653,WASH forum partnerships,1,1,0,1
1654,WASH forum presentations,1,1,0,1
1655,WASH forum training,1,1,0,1
1656,WASH forum training and briefing,1,1,0,1
1657,WASH knowledge sharing,1,0,1,1
1658,WASH management capacity,1,0,1,1
1659,WASH participation,1,0,1,1
1660,WASH plan implementation,1,0,1,1
1661,WASH planning and execution,1,0,1,1
1662,WASH problem alleviation,1,0,1,1
1663,WASH program implementation,1,0,1,1
1664,WASH program institutionalization,1,1,0,1
1665,WASH program outreach to all residents,1,0,1,1
1666,WASH program recognition as major national program,1,1,0,1
1667,WASH program strength,1,0,1,1
1668,WASH program sustainability,1,0,1,1
1669,WASH project completion,1,0,1,1
1670,WASH project effectiveness,1,0,1,1
1671,WASH resource access,1,0,1,1
1672,WASH sector attention,1,0,1,1
1673,WASH sector capacity,1,0,1,1
1674,WASH sector effectiveness,1,0,1,1
1675,WASH sector problem solving,1,0,1,1
1676,WASH service continuity,1,0,1,1
1677,WASH service improvement,1,0,1,1
1678,WASH service outcomes,1,0,1,1
1679,WASH service problem solving,1,0,1,1
1680,WASH service quality,1,0,1,1
1681,WASH service self-sufficiency,1,0,1,1
1682,WASH stakeholder capacity,1,0,1,1
1683,WASH stakeholder engagement in sanitation,1,1,0,1
1684,WASH stakeholder focus on infrastructure construction,1,1,0,1
1685,WASH stakeholder inclusion of awareness creation in strategic plans,1,1,0,1
1686,WASH stakeholder leadership,1,0,1,1
1687,WASH stream committee commitment,1,0,1,1
1688,WASH stream committee engagement,1,0,1,1
1689,WASH system integration,1,1,0,1
1690,WASHCO bylaws,1,1,0,1
1691,WASHCO capacity,1,0,1,1
1692,WASHCO empowerment,1,1,0,1
1693,WASHCO establishment,1,1,0,1
1694,WASHCO financial management,1,0,1,1
1695,WASHCO financing and incentives,1,1,0,1
1696,WASHCO functionality,1,0,1,1
1697,WASHCO revenue,1,0,1,1
1698,WASHCO technical capacity,1,1,0,1
1699,WASHCo financial accountability,1,0,1,1
1700,WASHCo financial transparency,1,1,0,1
1701,WASHCo functional capacity,1,1,0,1
1702,WASHCo maintenance capability,1,0,1,1
1703,WASHCo maintenance tools,1,1,0,1
1704,WASHCo management capacity,1,0,1,1
1705,WASHCo monitoring by authorities,1,1,0,1
1706,WASHCo peer learning visits,1,1,0,1
1707,WASHCo technical capacity,1,1,0,1
1708,WASHCo technical training on maintenance,1,1,0,1
1709,WASHCo training,1,1,0,1
1710,WASHco capacity,1,0,1,1
1711,WASHco capacity building,1,1,0,1
1712,WASHco effectiveness,1,0,1,1
1713,WASHco hand tools,1,1,0,1
1714,WASHco monitoring capacity,1,1,0,1
1715,WASHco refreshment training,1,1,0,1
1716,WASHco technical skills,1,1,0,1
1717,WASHco training,1,1,0,1
1718,WASHco training and capacity building,1,0,1,1
1719,WASHco training and supplies,1,1,0,1
1720,WASHcos commitment and follow-up,1,1,0,1
1721,WASHcos training,1,1,0,1
1722,WASHcos transformation to water user associations,1,1,0,1
1723,WASREB management models,1,1,0,1
1724,WASREB regulatory linkage,1,1,0,1
1725,WRUA formation,1,1,0,1
1726,WRUA funding,1,1,0,1
1727,WRUA programs,1,0,1,1
1728,WSC training,1,0,1,1
1729,WSP asset development,1,0,1,1
1730,WSP authority to develop assets,1,0,1,1
1731,WSP capacity,1,1,0,1
1732,WSP capacity building,1,1,0,1
1733,WSP dependence on Tanathi and county,1,1,0,1
1734,WSP financial burden,1,0,1,1
1735,WSP governance adherence,1,0,1,1
1736,WSP institutional and financial capacity,1,1,0,1
1737,WSP institutional capacity,1,0,1,1
1738,WSP management,1,1,0,1
1739,WSP operational independence,1,0,1,1
1740,WSP performance visibility,1,0,1,1
1741,WSP scheme transition,1,0,1,1
1742,WSP service delivery capacity,1,0,1,1
1743,WSP-community scheme partnership,1,1,0,1
1744,WaSHCO capacity building,1,1,0,1
1745,WaSHCO discharge of responsibilities,1,0,1,1
1746,WaSHCO effectiveness,1,0,1,1
1747,WaSHCO functionality,1,0,1,1
1748,WaSHCO functioning,1,0,1,1
1749,WaSHCO legitimacy,1,0,1,1
1750,WaSHCO member training,1,1,0,1
1751,WaSHCO operational sustainability,1,0,1,1
1752,WaSHCo fee collection,1,1,0,1
1753,WaSHCo financial sustainability,1,0,1,1
1754,WaSHCo member capacity,1,0,1,1
1755,WaSHCo performance,1,0,1,1
1756,WaSHCo training and material,1,1,0,1
1757,WaSHCo training capacity,1,0,1,1
1758,WaSHCo training initiative,1,0,1,1
1759,Water ATM initial cost,1,1,0,1
1760,Water Act 2002 mandate restriction,1,1,0,1
1761,Water Act 2002 tariff structure,1,1,0,1
1762,Water Act 2016,1,1,0,1
1763,Water Sector Trust Fund support,1,1,0,1
1764,Water Unions,1,1,0,1
1765,Whave Solutions intervention,1,1,0,1
1766,Whave Solutions maintenance approach,1,1,0,1
1767,Whave collaboration with water pump mechanics and WUC,1,1,0,1
1768,Whave service contract,1,1,0,1
1769,Whave service suspension,1,0,1,1
1770,World Bank and municipality budget,1,1,0,1
1771,World Bank feedback discussions on implementation procedures,1,1,0,1
1772,World Bank financed water supply expansion,1,1,0,1
1773,World Bank funding,1,1,0,1
1774,World Bank oversight and advice,1,1,0,1
1775,World Bank procurement guidelines,1,1,0,1
1776,World Bank programs and funds,1,1,0,1
1777,World Bank project management quality,1,1,0,1
1778,World Bank waste disposal programs,1,1,0,1
1779,abattoir service provision,1,0,1,1
1780,ability to address sanitation and hygiene,1,0,1,1
1781,ability to charge cost-recovery water tariff,1,0,1,1
1782,ability to employ trained staff,1,0,1,1
1783,ability to operate complex systems,1,0,1,1
1784,ability to pay for water services,1,0,1,1
1785,ability to pay operational staff,1,0,1,1
1786,ability to repair project breakdowns,1,0,1,1
1787,absence of rural water companies,1,1,0,1
1788,abstraction compliance,1,0,1,1
1789,abstraction monitoring,1,1,0,1
1790,abstraction record keeping,1,0,1,1
1791,abstraction volume data,1,0,1,1
1792,acceptance of scheme water sources,1,0,1,1
1793,access for unserved populations,1,0,1,1
1794,access to basic needs,1,1,0,1
1795,access to clean drinking water,1,0,1,1
1796,access to credit,1,1,0,1
1797,access to credit from county government,1,1,0,1
1798,access to drinking water,1,0,1,1
1799,access to health and adult education services,1,0,1,1
1800,access to health and education services,1,1,0,1
1801,access to large water containers,1,0,1,1
1802,access to multiple services for pastoralists,1,0,1,1
1803,access to natural fertilizers,1,0,1,1
1804,access to raw materials,1,0,1,1
1805,access to rural kebeles,1,0,1,1
1806,access to sanitation materials,1,0,1,1
1807,access to services,1,1,0,1
1808,access to spare parts and repair services,1,0,1,1
1809,access to spare parts in rural areas,1,1,0,1
1810,access to specialized technicians,1,1,0,1
1811,access to toolkits,1,1,0,1
1812,access to water,1,0,1,1
1813,access to water and sanitation services,1,0,1,1
1814,access to water in saline areas,1,0,1,1
1815,"access to water, health, education services",1,0,1,1
1816,access to wells and springs,1,0,1,1
1817,accessibility for health posts and community,1,0,1,1
1818,accountability and check-and-balance systems,1,1,0,1
1819,accountability and transparency,1,0,1,1
1820,accountability for accomplishments in WASH committee meetings,1,1,0,1
1821,accountability for liquid waste management,1,0,1,1
1822,accountability for task completion,1,0,1,1
1823,accountability mechanism,1,1,0,1
1824,accountability of government and NGOs,1,1,0,1
1825,accountability of water scheme managers,1,0,1,1
1826,accountability of water user committees,1,0,1,1
1827,accountability system,1,1,0,1
1828,accountability to community,1,0,1,1
1829,accountability to sub-county water office,1,1,0,1
1830,accountable body for sanitation,1,1,0,1
1831,accuracy of monitoring reports,1,0,1,1
1832,accurate community information,1,0,1,1
1833,accurate maintenance diagnosis,1,0,1,1
1834,action plan evaluation,1,0,1,1
1835,active WASH committees,1,1,0,1
1836,active management committees with bank accounts,1,1,0,1
1837,activity prioritization,1,0,1,1
1838,actor accountability for sanitation,1,0,1,1
1839,actor availability,1,1,0,1
1840,actor capacity to intervene,1,0,1,1
1841,actor coordination,1,1,0,1
1842,actor coordination in water and sanitation,1,0,1,1
1843,actor information for intervention,1,0,1,1
1844,actual engagement in infrastructure development,1,1,0,1
1845,ad hoc committee management,1,1,0,1
1846,ad hoc committee water management capacity,1,0,1,1
1847,adaptive intervention planning,1,0,1,1
1848,additional financial support,1,0,1,1
1849,additional funding,1,1,0,1
1850,additional income,1,0,1,1
1851,additional latrines,1,1,0,1
1852,additional waste collection trucks,1,1,0,1
1853,additional water scheme development,1,0,1,1
1854,additional water source development,1,1,0,1
1855,additional water sources,1,1,0,1
1856,additional water tank construction,1,0,1,1
1857,additional water tanks,1,1,0,1
1858,addressing community priorities,1,1,0,1
1859,addressing real water problems,1,0,1,1
1860,addressing soft components of sustainability,1,0,1,1
1861,adequate and skilled staff,1,1,0,1
1862,adequate budget,1,1,0,1
1863,adequate government budget,1,1,0,1
1864,adequate maintenance equipment at zonal level,1,1,0,1
1865,adequate manpower,1,1,0,1
1866,adequate research on water potential areas,1,1,0,1
1867,adequate staffing,1,1,0,1
1868,adequate trained technicians,1,1,0,1
1869,adequate waste disposal infrastructure,1,1,0,1
1870,adherence to construction standards,1,0,1,1
1871,adherence to contract implementation standards,1,1,0,1
1872,adherence to coordination plans,1,1,0,1
1873,adherence to implementation standards,1,0,1,1
1874,adherence to project designs,1,1,0,1
1875,adherence to service standards,1,0,1,1
1876,adherence to standard designs,1,0,1,1
1877,adherence to standardized designs,1,1,0,1
1878,administration monitoring and follow-up,1,1,0,1
1879,administrative and institutional support,1,1,0,1
1880,administrative attention to WASH stream committee,1,1,0,1
1881,administrative attention to water supply,1,0,1,1
1882,administrative evaluation of implementation,1,1,0,1
1883,administrative monitoring of management committees,1,1,0,1
1884,administrator awareness of community problems,1,1,0,1
1885,administrator commitment to grassroots engagement,1,1,0,1
1886,adoption of new rural scheme models,1,0,1,1
1887,adoption of sanitation practices as culture,1,0,1,1
1888,advisory support capacity,1,0,1,1
1889,advocacy to regional government,1,1,0,1
1890,affordability of preventive maintenance services,1,0,1,1
1891,affordable waste dumping service,1,1,0,1
1892,aggregate community contributions,1,1,0,1
1893,aging infrastructure,1,1,0,1
1894,aging water infrastructure,1,1,0,1
1895,aging water pumps,1,1,0,1
1896,agricultural and cleaning water reuse,1,0,1,1
1897,agricultural and industrial production inputs,1,0,1,1
1898,agricultural outcomes,1,0,1,1
1899,agro-pastoralist lifestyle,1,1,0,1
1900,air pollution,1,0,1,1
1901,alignment of interventions with county priorities,1,0,1,1
1902,alignment with county strategic direction,1,0,1,1
1903,alignment with government strategy,1,0,1,1
1904,allocated dumping site,1,1,0,1
1905,alternative dumping site identification,1,0,1,1
1906,alternative plans for water service,1,0,1,1
1907,alternative power supply,1,1,0,1
1908,alternative site selection,1,1,0,1
1909,alternative waste disposal area,1,1,0,1
1910,alternative water source planning,1,0,1,1
1911,"alternative water sources (deep well, etc.)",1,1,0,1
1912,animal farming for business,1,1,0,1
1913,annual budget allocation for waste infrastructure,1,1,0,1
1914,annual budget for education,1,1,0,1
1915,annual coordination forums,1,1,0,1
1916,annual savings,1,1,0,1
1917,application of water treatment chemicals,1,0,1,1
1918,appropriate capital budget,1,0,1,1
1919,appropriate machinery selection,1,0,1,1
1920,appropriate master plan,1,1,0,1
1921,appropriate project choice,1,0,1,1
1922,appropriate project selection,1,0,1,1
1923,appropriate resource use,1,1,0,1
1924,appropriate sanitation infrastructure,1,0,1,1
1925,appropriate service delivery,1,0,1,1
1926,appropriate technology adoption,1,0,1,1
1927,appropriate technology training,1,1,0,1
1928,appropriate trainee identification,1,1,0,1
1929,appropriate waste treatment,1,0,1,1
1930,appropriate water project siting,1,0,1,1
1931,appropriate water scheme design,1,0,1,1
1932,appropriateness of project designs,1,0,1,1
1933,aquifer recharge rates,1,0,1,1
1934,area contamination,1,0,1,1
1935,area sanitation,1,0,1,1
1936,area sanitation service,1,0,1,1
1937,arid and semi-arid climate,1,1,0,1
1938,arid and semi-arid land conditions,1,1,0,1
1939,arid climate conditions,1,1,0,1
1940,arid land conditions,1,1,0,1
1941,arid/desert agro ecology,1,1,0,1
1942,assessment quality,1,0,1,1
1943,asset and equipment replacement,1,0,1,1
1944,asset collateral,1,1,0,1
1945,asset inventory,1,1,0,1
1946,asset replacement planning,1,0,1,1
1947,asset transfer restrictions,1,1,0,1
1948,assigned cleaning workers,1,1,0,1
1949,assistant director's office financial support,1,1,0,1
1950,association and staff capacity,1,0,1,1
1951,assumption of no legal accountability for donor-funded projects,1,1,0,1
1952,attention to maintenance of existing water wells,1,1,0,1
1953,attention to sanitation issue,1,1,0,1
1954,attention to sanitation tasks,1,0,1,1
1955,attitude change in institutional staff,1,1,0,1
1956,attitude problem in society,1,1,0,1
1957,attitude problem of government bodies,1,1,0,1
1958,attitude toward waste management,1,0,1,1
1959,attitudinal change in people,1,1,0,1
1960,authority boundary clarity,1,1,0,1
1961,authority understanding of problems,1,1,0,1
1962,authorization and permit compliance by water service providers,1,1,0,1
1963,automated water payment systems,1,1,0,1
1964,autonomous board administration,1,1,0,1
1965,autonomous water board,1,1,0,1
1966,autonomous water service provider,1,1,0,1
1967,availability of alternative packaging materials,1,1,0,1
1968,availability of electronic devices,1,1,0,1
1969,availability of latrine door,1,1,0,1
1970,availability of waste collection sites and sanitary materials,1,1,0,1
1971,available funding,1,1,0,1
1972,awareness about value of water,1,1,0,1
1973,awareness among concerned bodies,1,1,0,1
1974,awareness and training programs,1,1,0,1
1975,awareness building activities on sanitation and hygiene,1,0,1,1
1976,awareness campaign in kebeles,1,1,0,1
1977,awareness campaigns alone,1,1,0,1
1978,awareness campaigns for students and teachers,1,1,0,1
1979,awareness campaigns on sanitation,1,1,0,1
1980,awareness creation and mobilization,1,1,0,1
1981,awareness creation before enforcement,1,1,0,1
1982,awareness creation campaign,1,1,0,1
1983,awareness creation campaigns,1,1,0,1
1984,awareness creation continuity and schedule,1,1,0,1
1985,awareness creation cost,1,0,1,1
1986,awareness creation on proper use of water schemes,1,1,0,1
1987,awareness creation on water and sanitation,1,1,0,1
1988,awareness creation platforms,1,1,0,1
1989,awareness effectiveness,1,0,1,1
1990,awareness enhancement campaign,1,1,0,1
1991,awareness enhancement training on waste management,1,1,0,1
1992,awareness enhancement training on water scheme management,1,1,0,1
1993,awareness enhancement trainings,1,1,0,1
1994,awareness of coverage gaps,1,0,1,1
1995,awareness of sanitation and hygiene importance,1,1,0,1
1996,awareness of waste disposal risks,1,0,1,1
1997,awareness of water projects,1,0,1,1
1998,awareness on efficient water utilization,1,1,0,1
1999,awareness on proper water well utilization,1,1,0,1
2000,awareness on sanitation and hygiene,1,1,0,1
2001,awareness program costs,1,0,1,1
2002,awareness programs by sanitation officer,1,1,0,1
2003,awareness programs for waste sector workers,1,1,0,1
2004,awareness raising program,1,1,0,1
2005,awareness training for regional officials,1,1,0,1
2006,awareness training on communal latrine management,1,1,0,1
2007,awareness training on latrine construction,1,1,0,1
2008,awareness training programs,1,1,0,1
2009,balanced water utilization system,1,1,0,1
2010,bank account monitoring,1,1,0,1
2011,bank financing for community water projects,1,0,1,1
2012,banking water revenue,1,1,0,1
2013,basic facilities access,1,0,1,1
2014,basic service establishment,1,0,1,1
2015,bathing service income,1,1,0,1
2016,behavior change,1,0,1,1
2017,beneficiary feedback collection,1,1,0,1
2018,beneficiary trust,1,0,1,1
2019,bid bureaucracy,1,1,0,1
2020,bidder competency requirements,1,1,0,1
2021,bidder knowledge of local conditions,1,1,0,1
2022,billing accuracy,1,0,1,1
2023,billing system improvement,1,0,1,1
2024,binding accountability system,1,1,0,1
2025,board independence,1,0,1,1
2026,board monitoring,1,1,0,1
2027,bookkeeping training for WASH committee,1,1,0,1
2028,bore hole drilling regulation,1,1,0,1
2029,borehole abandonment,1,0,1,1
2030,borehole accessory completeness at commissioning,1,1,0,1
2031,borehole casing,1,1,0,1
2032,borehole completion documentation,1,1,0,1
2033,borehole condition,1,0,1,1
2034,borehole construction in underserved areas,1,0,1,1
2035,borehole construction quality,1,0,1,1
2036,borehole dependence,1,0,1,1
2037,borehole diagnosis and repair,1,0,1,1
2038,borehole distance from town,1,1,0,1
2039,borehole downtime,1,0,1,1
2040,borehole drilling depth,1,0,1,1
2041,borehole drying,1,0,1,1
2042,borehole expansion,1,1,0,1
2043,borehole investment viability,1,0,1,1
2044,borehole legal status,1,0,1,1
2045,borehole maintenance capacity,1,0,1,1
2046,borehole management,1,0,1,1
2047,borehole material quality,1,0,1,1
2048,borehole operation knowledge,1,0,1,1
2049,borehole operational reliability,1,0,1,1
2050,borehole overcrowding,1,1,0,1
2051,borehole overuse,1,1,0,1
2052,borehole project,1,1,0,1
2053,borehole proximity to communities,1,1,0,1
2054,borehole rechargeability,1,0,1,1
2055,borehole rehabilitation,1,1,0,1
2056,borehole repair,1,1,0,1
2057,borehole repair funding,1,0,1,1
2058,borehole site selection,1,0,1,1
2059,borehole suitability,1,0,1,1
2060,borehole suitability for domestic use,1,0,1,1
2061,borehole supply capacity,1,1,0,1
2062,borehole technology,1,1,0,1
2063,borehole usability,1,0,1,1
2064,borehole usability for domestic use,1,0,1,1
2065,borehole viability,1,0,1,1
2066,borehole water levels,1,0,1,1
2067,borehole water quality,1,1,0,1
2068,borehole water utilization,1,0,1,1
2069,breakdown diagnosis and repair time,1,0,1,1
2070,breakdown frequency,1,0,1,1
2071,breakdown maintenance capacity,1,0,1,1
2072,breakdown recovery capacity,1,0,1,1
2073,breakdown repair response,1,0,1,1
2074,breakdown repair time,1,0,1,1
2075,breakdown reporting,1,0,1,1
2076,breakdown response capacity,1,0,1,1
2077,breakdown response delays,1,0,1,1
2078,broken and unrepaired water facilities,1,1,0,1
2079,broken drainage pipes,1,1,0,1
2080,broken pipes,1,1,0,1
2081,broken sewerage lines,1,1,0,1
2082,budget accountability,1,0,1,1
2083,budget allocation based on accomplished activities,1,1,0,1
2084,budget allocation decisions for sanitation,1,0,1,1
2085,budget allocation efficiency,1,0,1,1
2086,budget allocation for WaSHCo training,1,1,0,1
2087,budget allocation for modern dumping site,1,1,0,1
2088,budget allocation for suction,1,1,0,1
2089,budget allocation for waste disposal site,1,1,0,1
2090,budget allocation for water,1,0,1,1
2091,budget allocation for water infrastructure,1,1,0,1
2092,budget allocation for water projects,1,0,1,1
2093,budget allocation for water schemes,1,1,0,1
2094,budget allocation for water sector,1,1,0,1
2095,budget allocation to sanitation,1,1,0,1
2096,budget allocation to sanitation section,1,1,0,1
2097,budget allocation to sanitation sector,1,1,0,1
2098,budget allocation to urban WSPs,1,1,0,1
2099,budget allocation to water office,1,1,0,1
2100,budget allocation to water utility office,1,1,0,1
2101,budget allocation to woreda finance offices,1,1,0,1
2102,budget allocation to woreda water office,1,1,0,1
2103,budget and attention to sanitation,1,1,0,1
2104,budget and finance,1,1,0,1
2105,budget and manpower allocation for monitoring,1,1,0,1
2106,budget and project consistency,1,0,1,1
2107,budget and resource availability,1,0,1,1
2108,budget and resources,1,1,0,1
2109,budget and skilled manpower,1,1,0,1
2110,budget constraint,1,1,0,1
2111,budget constraints,1,1,0,1
2112,budget cycle misalignment,1,1,0,1
2113,budget delay improvement,1,0,1,1
2114,budget disbursement,1,1,0,1
2115,budget efficiency,1,0,1,1
2116,budget flexibility,1,0,1,1
2117,budget for water office,1,1,0,1
2118,budget gap for sanitation,1,0,1,1
2119,budget monitoring,1,0,1,1
2120,budget planning and execution for sanitation,1,0,1,1
2121,budget problem,1,0,1,1
2122,budget reallocation from other sectors,1,1,0,1
2123,budget release,1,1,0,1
2124,budget request eligibility,1,0,1,1
2125,budget request for disposal site,1,0,1,1
2126,budget requirement,1,0,1,1
2127,budget shortfall,1,0,1,1
2128,budget source identification,1,0,1,1
2129,budgeted and scheduled WASH forum,1,1,0,1
2130,building septic tanks,1,1,0,1
