DOC ID,Statement,Cause Factor,Effect Factor,Challenge / Solution
31,"if breakdowns are there we do them immediately...some communities are staying for long. Some of them have stayed for more than one year without their motor or pumps being replaced, they are not using the water",rapid breakdown response,water service continuity,Solution
31,"we are changing committees all the time because of...the interest of the MCAs now...you elect a committee today, tomorrow you hear the Governor say you elect a different committee",political interference in committee elections,management committee stability,Challenge
31,"Maybe we buy spare parts and pool so that maybe if it's something which is not there we go we diagnose that a borehole doesn't have a motor, we just come and pick.",spare parts stockpiling,breakdown response time,Solution
32,the issue of maintenance is not taken that very key and with time you find that a water infrastructure which has been operating for quite time has stalled and is not operating,maintenance of water infrastructure,water infrastructure operation,Challenge
32,"a breakdown, a clogging of a pipe, or some vandalism and as a result you find that the whole project stalls...people don't get water, probably they return back to the old polluted water sources",infrastructure breakdown,use of polluted water sources,Challenge
32,"the people in terms of the skills and also management skills here, for the people who are managing these water schemes, i think there is a gap there",management skills of water scheme managers,water scheme sustainability,Challenge
32,we need also to ensure that they have the adequate skills in pertaining to them so that they are able to run without depending on other people,skills of water user committees,independent operation of water schemes,Challenge
32,"if they have the good management schemes from the revenue that they are going to obtain, they'll be able to sustain this project",revenue management,project sustainability,Challenge
32,"if this monitoring can be enhanced then we will ensure that we are bringing accountability to the water user committees to ensure that the resources that they are using, they are using it well",monitoring of water schemes,accountability of water user committees,Challenge
32,if the monitoring aspect there is some lapse then there is also lapse in terms of the water user committees who are managing these water schemes. And as a result of that we are looking at the project stalling,monitoring of water schemes,project stalling,Challenge
32,the internal controls of the financial management aspect is wanting such that you'll find committees are collecting revenue...a breakdown happens and the committee says there is no money,internal financial controls,revenue availability for maintenance,Challenge
32,"the power cost here to be specific, the power cost that we have to be more focused on hybrid system...we move away from genset system to solarization system so that we reduce on the running cost",genset-based power systems,running costs,Challenge
32,we are coming up with some water schemes whereby the running cost is not sustainable if it's handed over to the community or even to the service water providers,running costs,water service sustainability,Challenge
32,"resorting or adopting the renewable energy that's solar pumping instead of gensets or electricity because this is not expensive, sun is free, and this will mean the running costs are lower",renewable energy (solar pumping),running costs,Solution
32,running costs are lower hence sustainability can be achieved through adopting the renewable energy way,running costs,water service sustainability,Solution
32,we increase in terms of the frequencies that we are doing monitoring...so that we remove the opaqueness of these water committees and we ensure there is transparency and accountability,monitoring frequency,transparency and accountability of water user committees,Solution
32,at the end of the day we know that the water schemes that we have in Kitui they are generating revenues and those revenues are well utilized within that water user scheme,transparency and accountability of water user committees,revenue utilization,Solution
32,"the community or the committees managing these community projects should be capacity build in a good manner such that when we phase out or we hand over a project to a community, they can well maintain",community capacity building,infrastructure maintenance capability,Solution
32,water system needs servicing like a vehicle or any other man-made structure for it to serve for a longer period,regular servicing of water systems,water service longevity,Solution
32,we need to strengthen the policy frameworks for governing service provision for water in Kitui County...we are able to invest much to ensure that the service providers are the custodians of these water schemes,policy frameworks for water service provision,professional management of water schemes,Solution
32,"if there is a good WASH service provider that is best in the county and is managing this, in terms of looking at the operation and maintenance, I think they will be well managed",professional water service providers,operation and maintenance quality,Solution
32,"that one will create a competition such that whatever is community based, private based, government based, they will be now pulling up their socks so that they be in business",competition among water providers,water service quality and reliability,Solution
32,if we can ensure we link the water management committees to private partnerships so that it can enhance maybe the metering system,private partnerships with water management committees,metering system,Solution
32,"link the water management committees to private partnerships so that it can enhance maybe the metering system, it will enhance revenue collection",private partnerships with water management committees,revenue collection,Solution
32,focusing on universal coverage that is individual connections...we have individual connections where we are billing on monthly basis and we are enhancing our revenues,individual water connections,revenue generation,Solution
32,"if there is like an insurance mechanism that these water schemes are being insured, and there is like a small levy they are paying for this private service providers that in case something breaks down, they are going to repair",insurance mechanism for water schemes,breakdown repair response,Solution
32,"to make sure that clean and safe water reaches people within Lower Yatta, people within Mutomo, by that pipeline which is treated water which is safe for consumption",pipeline systems with treated river water,clean water access,Solution
32,reducing distances that communities and more so children and women specifically girls are walking looking for this water. So to reduce that distance we are looking at how best can we ensure that this water is closer to the people,pipeline extension,distance to water for communities,Solution
32,we should ensure that at the design stage our latrines have also MHM. These girls are being exposed. They don't have changing rooms to change their pads. So as a way of enhancing dignity among school going children,MHM facilities in latrines,dignity of school girls,Solution
32,the WASH Forum has really been a building block for us in terms of knowing the resources the county is investing in water so that we can create partnership,WASH Forum participation,knowledge of county WASH investments,Solution
32,if the resources are put together then more people are able to access water...they have been able to enhance our partnership and know strategic areas where we can go to the county for partnerships,WASH Forum partnership,resource pooling for water access,Solution
32,from the WASH Forum we are getting the county strategic direction towards WASH so that also informed us to align ourselves towards the county because we are not working in isolation but rather complimenting the County Government efforts,WASH Forum,alignment with county strategic direction,Solution
33,"we have covered around 30-40% within our service provision area. With a population of almost 800,000 people, we cover only 35%. The challenge is because one, the main source of water for Kitui is in Machakos, Masinga Dam. And from Masinga Dam to Kitui alone, is almost a 100 kilometers.",distant water source,water coverage,Challenge
33,"the pipeline passes through the rural area. The challenges actually we normally experience are water theft, there are burst along the pipeline",rural pipeline routing,water theft,Challenge
33,"we normally pump from the dam to a head of 270 meters. We must use power, electricity power to pump water...There is a cost element there which is around 10 million per month.",high pumping head,electricity costs,Challenge
33,"since the company cannot break even when it is paying that operational cost alone of power, we are tempted to go back to the County Government to get a subsidy",electricity costs,financial sustainability,Challenge
33,the terrain is not a good and because the pressure we end up having so many burst along the line,difficult terrain,high pipeline pressure,Challenge
33,"some part towards Kitui, the terrain is not a good and because the pressure we end up having so many burst along the line",high pipeline pressure,pipeline bursts,Challenge
33,"to have adequate and clean water you need to treat it. So the element of chemicals, we spend almost 800,000 actually, that is per month",water treatment chemicals,operational costs,Challenge
33,"you need transport to patrol the line. So there's also the element of also cost of monitoring that we need fuel, we need motorcycles",pipeline monitoring,transport and fuel costs,Challenge
33,people would want to be given water free. It's a challenge but we also have to convince them that water is not for free. We are commercial.,community expectation of free water,cost recovery,Challenge
33,we need to look for other source of producing that water especially on the terms of power...maybe wind or solar. Can have a garden of solar at Masinga.,alternative power sources,electricity costs,Solution
33,"the County Government is trying to help us in some way, because they are installing solars at the boreholes...we have solar installed to pump water to their hill so that it can flow by gravity",solar panels at boreholes,pumping costs,Solution
33,"when it comes to financing, kind of we need to be financed so that we can improve on transport",external financing,transport capacity,Solution
33,we need people to patrol the lines; we need people to do the repairs of the water system,transport capacity,pipeline monitoring,Solution
33,we have to have guys reading this meter at these particular areas so that we can put them in system to produce a bill,transport capacity,meter reading,Solution
33,"If today, the power issue is sorted out, my company would break even and I won't be running to the County Government to ask for subsidy.",alternative power supply,financial self-sufficiency,Solution
33,"If today, the power issue is sorted out, my company would break even and I won't be running to the County Government to ask for subsidy.",financial self-sufficiency,government subsidy dependency,Solution
33,"As you pump this water, with all this cost you are losing a lot of water because of the water theft and bursts.",water theft,non-revenue water,Challenge
33,"As you pump this water, with all this cost you are losing a lot of water because of the water theft and bursts.",pipeline bursts,water loss,Challenge
33,"I've come up with a strong team...bring in staff with good integrity. They come to you, they want to disconnect you they cannot be compromised...I've put a policeman there.",non-revenue water team integrity,water theft,Solution
33,"Over 20 motorbikes will be used to monitor, will be used for meter reading and for the emergency repairs.",motorbikes,pipeline monitoring,Solution
33,"If it's a major burst, we run there. Where our vehicles cannot access, we have motorbikes to access there.",motorbikes,emergency repairs,Solution
33,"last mile connectivity where they are coming to connect over 2,500 connections free...It's a loan from the National Government through African Development Bank.",last mile connectivity project,sewer household connections,Solution
33,They will also lay 40 kilometers of both water and sewer. They are also coming to do some more boreholes so that we can boost our systems.,African Development Bank funding,water and sewer infrastructure,Solution
33,most of these illegal connections actually are done by staff sometimes,staff integrity,illegal connections,Challenge
33,people are discharging the sewer to the Kalundu River where we have the dam. That means a lot. We have to go back to the public health.,sewer discharge to river,water source contamination,Challenge
33,"KIWASH they assist us to come on what we call the PIP, performance improvement plan...we came to learn that there are other things we need to improve on",KIWASH performance improvement plan,organizational capacity,Solution
33,"as you attend these WASH programs, you learn the gaps which are there. because as you go to these meetings, you know, the areas that needs to be improved on",WASH forum participation,gap identification,Solution
33,"Through the WASH we know how we are supposed to work on the quality of the service we give, both water and the sewer",gap identification,service quality improvement,Solution
33,getting support from Water Sector Trust Fund...financing us to improve on the way people who had pit latrines to convert them to flush toilets,Water Sector Trust Fund support,latrine upgrade,Solution
33,"we are building a public sanitation facility at Mutomo...so that people can access those. You know in a market where there is no toilet, you know the situation.",public sanitation facilities,public hygiene,Solution
33,"Through the WASH we know...the number of people that we are supposed to cover in terms of giving them water, the coverage.",WASH forum participation,service coverage planning,Solution
34,"lack of enough revenue, that is financial resources to maintain the schemes. If you have no funds, mobility becomes a problem.",financial resources,operation and maintenance,Challenge
34,"If you have no funds, mobility becomes a problem. We have no transport.",financial resources,transport,Challenge
34,"If there were enough funds, we would get transport for every sub county to be mobile to monitor and report problems early enough.",transport,monitoring and early reporting,Challenge
34,we are poorly staffed at the county level. We have no staff on the ground up to the village level; our staff goes up to the sub county level so we have to stretch from the sub county up to the village,staffing,monitoring coverage,Challenge
34,if we had staff up to the village level monitoring would be easy and we would be able to intervene before major breakdowns occur.,monitoring coverage,early intervention before breakdowns,Challenge
34,due to climate change. Most of the water schemes have dried up and borehole yields have declined.,climate change,water scheme functionality,Challenge
34,due to climate change. Most of the water schemes have dried up and borehole yields have declined.,climate change,borehole yields,Challenge
34,"So, the sources end up not being adequate to meet the demand.",borehole yields,water supply adequacy,Challenge
34,"If the national government can increase allocation to the counties, this can enable the counties to allocate more money for operation and maintenance of the schemes.",national government allocation to counties,county O&M funding,Solution
34,The money would also make it possible to employ more staff up to the village level.,county funding,staffing at village level,Solution
34,"About climate change, what we can do is planting of trees and carrying out rain water harvesting – runoff rain water harvesting as well as roof catchment harvesting at the household level.",tree planting,water availability,Solution
34,carrying out rain water harvesting – runoff rain water harvesting as well as roof catchment harvesting at the household level.,rainwater harvesting,water availability,Solution
34,The important one is the financial aspect; if the finances are there things will flow.,financial resources,water service sustainability,Solution
34,We will be in a position to be mobile because we will be having transport to do monitoring and support timely repairs.,financial resources,transport,Solution
34,We will be in a position to be mobile because we will be having transport to do monitoring and support timely repairs.,transport,timely repairs,Solution
34,We will also be in a position to employ more staff to increase supervision and monitoring for the rural water schemes up to the village level,financial resources,staffing,Solution
34,employ more staff to increase supervision and monitoring for the rural water schemes up to the village level and to the extreme up to the household level.,staffing,supervision and monitoring,Solution
34,"we have a rapid response unit team that moves fast when there is a breakdown, now as we are seated here, they are repairing a borehole in my sub-county",rapid response unit,repair downtime,Solution
34,We are also doing trainings for communities.,community training,community capacity for water management,Solution
34,We are collaborating with the business community to support with the repairs.,private sector collaboration,repair support,Solution
34,"I have also gotten into an agreement with a local supplier, of course with approval from the county, to get pumps on loan at the sub-county level. They provide pumps and are paid by the county later.",pump loan agreement with local supplier,pump availability,Solution
34,"With these kinds of interventions, I can say that at least 80% of all water schemes in my sub-county are operational.",pump availability,water scheme operationality,Solution
35,they price the water in such as way that it is supposed to be affordable to everyone. You see now with such tariffs they can't raise adequate money to sustain that project,water tariffs,project revenue,Challenge
35,they are not able to pay a watchman to guard the facility or to pay a sales attendant and to also save some money in case of a break down,project revenue,ability to pay operational staff,Challenge
35,they are not able to pay a watchman to guard the facility or to pay a sales attendant and to also save some money in case of a break down,project revenue,emergency repair savings,Challenge
35,They always need to get funds for from other entities like the county and other organizations.,project revenue,external funding dependence,Challenge
35,if you do a project in a town like Athi and the main river is flowing through the area...people were used to digging or scooping shallow wells along the river...they may not actually draw water from the project,alternative water sources,water project utilization,Challenge
35,you had targeted a certain number of people then you get just about a small percentage of that buying water because they have alternative sources. The facility will not raise enough revenue to sustain it.,water project utilization,project revenue,Challenge
35,"If they are not educated and told that the project after handing over is theirs, then nobody takes real ownership of the project. If it breaks down, nobody is bothered with the repairs and so it fails.",community ownership,project maintenance,Challenge
35,"You get a strong committee so that after the project is commissioned, the committee can take over the project and you keep monitoring them for some time",strong committee,project management quality,Solution
35,"once we commission and hand over, we take up to three months training them and then the NGO keeps monitoring and checking their accounts, their figures and those are the projects that I have seen which run for even three…four years",post-handover monitoring and training,project sustainability,Solution
35,"you get teachers, or people who have been involved in planning, you don't just get anybody...somebody who is responsible and accountable, someone who can give a breakdown of how the money was banked, spent or saved",committee member selection criteria,committee accountability,Solution
35,the elect leaders talk about affordable water and they say that it should be priced at 2 shillings yet it is a project that even involves buying of chemicals to treat the water. It may not be very practical to sell the water at a higher price,political influence on tariff-setting,appropriate water pricing,Challenge
35,you can look for better ways like powering systems through solar which doesn't have running costs as compared to powering a system through generators,solar power,operational costs,Solution
35,"it is important to simplify the system so that it has few consumables. Basically, lowering the operation costs.",system simplification,operational costs,Solution
35,Organizations just need to tell the community that the projects actually belong to the community...That is something that requires training and sensitization,community training and sensitization,community ownership mindset,Solution
35,"when they learn that they are responsible, then they can come up with proper pricing for their water. It won't be influenced externally",community responsibility,appropriate water pricing,Solution
35,they can also look for cheaper ways of running their projects by cutting down on cost,community responsibility,operational cost management,Solution
35,they will also be able to create a kitty; some savings in case the project fails,community responsibility,project savings fund,Solution
35,they will have some money even if they need to be boosted by the County or an NGO or by a donor they have already a certain significant percentage of what they need,project savings fund,breakdown recovery capacity,Solution
35,"if they are trained, we can change their mindset, then it doesn't matter whatever you install whether it is generator powered or solar powered...whether it is a complex system or a simple system they will run it successfully",community training,ability to operate complex systems,Solution
35,"Once I design and train them, they implement the projects and I can say that it has worked because it has lowered the running costs for most of these projects",appropriate technology training,operational costs,Solution
35,"At the schemes you will at times find them letting the pump run throughout the day, it goes off at night, then starts pumping the next day. There is no system that can run like that. Sooner or later it will break down",continuous pump operation,equipment breakdown,Challenge
35,after three months the attendants changed because there was someone suspecting that they are misappropriating money or someone is benefiting from the scheme wrongly or someone wants their son to be employed as the attendant,staff turnover,training continuity,Challenge
35,"training is not just a one day session it should be something that is continuously being done so if we have finished with the project, we go there with the sub county water officer...we do serious training",training continuity,project performance,Solution
35,The sub county water officer is the one who institutes a committee and checks in to make sure that the committee is functional.,sub-county water officer oversight,committee functionality,Solution
36,"most of the rural schemes are managed by the community by selected leaders... people with low literacy levels and people who are elderly. So, they know very little",scheme leader literacy,scheme management quality,Challenge
36,"We train them once and because of minimum funds, we are unable to train them again. We don't train them continuously and they forget what they have been trained",training continuity,scheme management capacity,Challenge
36,"because of minimum funds, we are unable to train them again",available funding,training continuity,Challenge
36,they do things their own way. They do whatever they think is correct and sometimes it doesn't work out and so the projects fail and the facilities cannot be used by the community,scheme management capacity,water project functionality,Challenge
36,scheme leaders cannot remember to save or set aside money for that project for sustainability purposes and especially money for repairs,scheme leader financial management,maintenance funding,Challenge
36,money for repairs to make service delivery sustainable. They then start blaming each other for the failures and this just messes up everything,maintenance funding,service delivery sustainability,Challenge
36,money which is collected from selling of water is supposed to be strictly for maintenance of the water facility. That is the understanding most of the groups lack,understanding of water revenue purpose,maintenance fund allocation,Challenge
36,they come with the mindset that it is their time to get money from the projects... when the water is sold the money should be shared amongst themselves,youth misuse of water revenue,maintenance funding,Challenge
36,"as the dry spell comes most of our borehole water levels go down, making it probably impossible to recharge as fast as it used to when it was drilled. The area is becoming dryer",climate change,groundwater levels,Challenge
36,"most of the people elected are youngsters... whatever they learn in those trainings, they don't teach the elderly",youth-to-elderly knowledge transfer,scheme management capacity,Challenge
36,"Organizations can organize for quarterly trainings. At least by the end of one year, management committees will have stabilized in terms of acquiring relevant skills",continuous training,scheme management capacity,Solution
36,we concentrate on the sub surface dams and establishing dams across the river... we will be recharging the ground and the water levels in the boreholes...will rise,surface water harvesting,groundwater recharge,Solution
36,"when we do so, we will be recharging the ground and the water levels in the boreholes, even those which have been drilled in some distance the water level will rise",groundwater recharge,borehole water levels,Solution
36,"When we continue drilling boreholes, we are depleting the ground water levels which are our reserves",borehole drilling,groundwater depletion,Challenge
36,"the government needs to provide subsidies... The government should give subsidies to the water schemes... like giving them fuel; not money, rehabilitating the projects when they keep breaking down",government subsidies,scheme operational capacity,Solution
36,We also need to protect and conserve springs because they are being depleted,spring conservation,spring water availability,Solution
36,We concentrate on reforestation and restoration of conservation areas. Communities should be encouraged to plant trees around their project sites. That will cater for the climate change,reforestation,climate change impact mitigation,Solution
36,"When we train them well, they will be able to know which money belongs to the project and which money belongs to their pockets",training,financial management understanding,Solution
36,"By knowing this, they will be able to keep money for the project to support operation and maintenance",financial management understanding,maintenance funding,Solution
36,"If we continuously train the community and impact knowledge on them, we will be able to reduce breakdowns of the rural water schemes by almost 80%",continuous training,water scheme breakdowns,Solution
36,they will have a clear understanding that the water is not being sold to make a profit but to be able to deliver continuous and reliable service,community understanding of water service purpose,service delivery quality,Solution
36,If we continuously train the community and impact knowledge on them... The schemes will open bank accounts for the projects and so be able to carry out repairs,continuous training,scheme financial capacity,Solution
36,The schemes will open bank accounts for the projects and so be able to carry out repairs,scheme financial capacity,infrastructure repairs,Solution
36,"I know of some groups who are well trained... Those groups have been able to replace the submersible pump which costs about 200,000 shillings, without external support from a partner or from the county",scheme management capacity,external support dependency,Solution
36,"under the drought program we are rehabilitating the existing systems, drilling some boreholes, providing support for water trucking and providing water tanks",government program funding,infrastructure rehabilitation,Solution
36,We consult with the county government on the needs for the sector so that we can plan around them and write proposals,coordination with county government,infrastructure planning appropriateness,Solution
37,"Kitui being an arid and semi-arid region, most of our water sources production goes down with time. You find that this becomes a challenge during the drought period.",arid and semi-arid climate,water source production,Challenge
37,failure to adhere to project designs which results to poor implementation,adherence to project designs,quality of implementation,Challenge
37,lack of good framework in monitoring and evaluation systems,monitoring and evaluation framework,water service sustainability,Challenge
37,capacity of those who are managing the systems especially rural and Water Service Providers (WSPs) still have capacity gaps,management capacity of WSPs and rural schemes,water service delivery,Challenge
37,low funding which results to not implementing the projects to the required standards,funding levels,project implementation standards,Challenge
37,companies being under public trust...There is still some external management which results to them being lenient in implementation of some issues,external management interference in WSPs,WSP governance adherence,Challenge
37,"management is also influenced politically sometimes. Due to unemployment, the employment of people with high skills and qualifications",political influence on management,professional staff recruitment,Challenge
37,"the remunerations of the staff, that has a linkage in demoralization of the staff so in this case you find that governance in general under WSPs has various challenges",staff remuneration,staff morale,Challenge
37,"there is a lot of turnover in the top management, this results to misappropriation...after training a management committee this year, next year they are replaced by another committee",management committee turnover,accountability and transparency,Challenge
37,"after training a management committee this year, next year they are replaced by another committee, so it becomes a continuous problem",management committee turnover,capacity building continuity,Challenge
37,"if the scheme is not generating adequate funds, people also feel that those who are managing should give free services",scheme revenue adequacy,community expectation of free water service,Challenge
37,"when they start getting some allowances, it also becomes a challenge...we have people leaving and saying they cannot waste their time in all this",community expectation of free water service,management committee retention,Challenge
37,when we wait for the officers to be facilitated by the principle to address these small rural schemes it has become a challenge...these communities are left for a long time without being supervised and monitored,government-dependent monitoring facilitation,frequency of scheme monitoring visits,Challenge
37,"rural schemes are subscribing even if it is an annual fee can be used to monitor, supervise and evaluate them and this can improve their performance",scheme subscription levy,M&E facilitation funding,Solution
37,when the designs are not appropriate it means still the implementation will be jeopardized...some who are not able to bring their design documents to be approved by the County,design approval by county directorate,appropriateness of project designs,Challenge
37,if supervision is not strictly adhered to and we don't follow up the project contract implementation standards...most of the contractors end up implementing local standards where strict supervision is not carried out,strict supervision,adherence to implementation standards,Challenge
37,"Low salaries do not attract professionals to work for WSPs, so finally they end up recruiting people with no expertise just to be trained on the job",salary levels at WSPs,professional staff recruitment,Challenge
37,due to the issues of running the schemes they are not able to generate funds which can employ somebody who might have been trained in that field,scheme revenue generation,ability to employ trained staff,Challenge
37,"to be able to meet cost for operation and maintenance for both rural and urban, what is required is adjusted tariffs",tariff levels,O&M cost recovery,Challenge
37,when the tariffs go up it means that the community will revert back to the traditional sources so striking the balance in between there has been a complicated issue,tariff increases,community reversion to traditional water sources,Challenge
37,the destruction of our environment because this has to do with depletion of the sources...we have to bring strongly issues of catchment protection and protection of our rivers,environmental degradation,water source depletion,Challenge
37,"We can come up with so many guidelines, policies, good plans but if they are not subjected to monitoring and evaluation...it will still remain a challenge",monitoring and evaluation system,effectiveness of water policies and plans,Solution
37,"continuous capacity building of the County staff, WSPs and even the community management committees, and this should go together with continuous sensitization",continuous capacity building of county staff and WSPs,water service management quality,Solution
37,incorporating a business model. We bring in the private sector within the management of water systems,private sector involvement in water management,water system performance,Solution
37,renewable energy as a way of reducing operation and maintenance costs and more so we can focus on the solar powered systems,renewable/solar energy systems,operation and maintenance costs,Solution
37,Due to an increasing population we need to think of developing major water sources,population growth,demand for water sources,Challenge
37,if we can be harvesting the runoff with major harvesting structures this can be a solution,water harvesting structures,water availability during drought,Solution
37,"all those undertaking water projects, it is appropriate for the designs to be approved by the directorate of water",design approval by directorate of water,implementation quality,Solution
37,the national government can probably consider increasing the allocation to the devolved governments because this is where the major services are required,national government funding allocation to devolved governments,county water project implementation,Solution
37,The most important is monitoring and evaluation...this will lead to overall sustainability...when we are talking of sustainability we are talking about facilities which are generating revenue,monitoring and evaluation,water service sustainability,Solution
37,commercial loses are higher than the physical loses...Commercial losses which are internally generated can easily be addressed through a monitoring system,monitoring system,commercial water losses,Solution
37,the physical loses can be addressed during implementation if you adhere to the contract implementation standards,adherence to contract implementation standards,physical water losses,Solution
37,"focusing on hybridization, that is the use of solar systems combined with other energy source systems for pumping of water from boreholes",solar/hybrid energy systems,water pumping reliability,Solution
37,we lose a lot when the rains come compared to what we store and this becomes a challenge during the drought seasons,rainfall storage capacity,water availability during drought seasons,Challenge
37,"bulk storage enhances mitigation when there is a breakdown. So, within a period of 2 to 3 days before any problem is fixed people can still have water",bulk storage,service continuity during breakdown,Solution
37,Pipeline extensions are done in areas where we have reliable sources...to bring water close to the communities either through a kiosk which the community can access within half a kilometer,pipeline extensions,community water access,Solution
37,"we do public participation so that when they give their proposals, we can now see if it is applicable within that specific region",public participation in intervention selection,appropriate technology adoption,Solution
38,"One, it is about management. When I say management, it is about the management committees. Some are active and others are inactive.",inactive management committees,water service sustainability,Challenge
38,"if they are not advised accordingly, instead of picking earth dam, depending on topography, they can go for pipelines. They need to be advised and provided with the right information on how they can choose the reliable technologies",community guidance on technology selection,appropriate project choice,Challenge
38,Training of committees especially on operation and maintenance specifically and we must have sub committees to undertake that.,committee training on operation and maintenance,water scheme functionality,Challenge
38,"Also, training on procurement, finances and record keeping. For example, if a water scheme has 9 committee members, each one has to be allocated duties.",committee training on procurement and record keeping,financial management,Challenge
38,"procurement is a problem. Procurement has become a cancer. There is a project in this sub-county by the name Kithiini. They don't have a bank account, they share the money amongst themselves, as though it is relief food",procurement mismanagement,water scheme sustainability,Challenge
38,It is through ownership that you can talk of sustainability and most of our water management committees are inactive and dormant and they need to be brought to a point where every member knows what they are supposed to do.,community ownership,water service sustainability,Challenge
38,having proper land agreements before setting up a project and also ownership in the sense that the community having the feeling that the project belongs to them.,proper land agreements,project establishment,Challenge
38,we must bring together all the key stakeholders involved so that we can be in a position to achieve continuous sustainability. It's not about one individual.,stakeholder coordination,water service sustainability,Challenge
38,"Another key challenge is transport for mobility to access the active management committees...If this office can be provided with transport, I think we can deliver",water officer transport,committee support and monitoring,Challenge
38,"because of power, that is electricity and diesel in most of the water schemes, they just decide their own tariffs...they are always asking for meetings so as to review their water tariffs",electricity and diesel costs,unilateral tariff setting,Challenge
38,"they need to be guided when choosing the technology and type of project that NGOs, national or county government wants to implement for them and they must know how to rank them.",technology guidance,appropriate project selection,Solution
38,"Due to inadequate personnel, we are not represented fully at ward levels. I am in charge of 6 wards with 41 villages and my colleague is in charge of coordinating 2 out of the 6 wards.",water office staffing,community guidance capacity,Challenge
38,"At the village level if there is a new project, we involve the village administrators. This will solve the issues of ownership.",village administrator involvement in new projects,community ownership,Solution
38,"From the beginning, the community must be taken through the process of having the project...they must also be taught about ownership.",community involvement in project process,community ownership,Solution
38,I will recommend that all the viable water schemes to be given either to the water service provider or a caretaker...The schemes should have a caretaker or the water services providers should take over.,water services provider management of schemes,scheme sustainability,Solution
38,"a project may be having a committee, but there should be one person who does all the work and reports to the committee. This is what will save us.",scheme caretaker,scheme management and accountability,Solution
38,"If capacity building is done, the schemes will run well without any problems. In other words smooth running of the water schemes and this will have an impact.",capacity building of management committees,water scheme sustainability,Solution
38,"I think developing clear job descriptions for the members will be helpful for the schemes. If the chairman is unable to carry out the duties, they can delegate.",clear job descriptions for committee members,management effectiveness,Solution
38,Let the executive committees have small sub-committees and have each member do their own work according to their job descriptions.,sub-committees,role specialization,Solution
38,"If we could have youth, church representatives and trustees to manage them. This would be very good. Even the projects could have enough money to expand and have other projects.",diverse community management,scheme sustainability,Solution
38,"These schemes have money and if well managed, they can be sustainable...the projects could have enough money to expand and have other projects.",well-managed scheme finances,scheme expansion,Solution
38,The issue of money coming from the national government to the county government is taking long. We may get the funds in October which means I'll have nothing to report on.,funding delays from national to county government,work plan implementation,Challenge
38,It does not make any sense to drill another borehole when the existing ones require only a replacement or repair of the motor and pump.,rehabilitation of existing water infrastructure,resource efficiency,Solution
38,letting the community decide on the projects really helps in terms of ownership.,community input through barazas,community ownership,Solution
38,we have some fairly active water management committees which have some bank accounts with money...they withdraw some funds then we give them an artisan for installation works.,active management committees with bank accounts,maintenance capacity,Solution
38,"for sustainability to be achieved, there should be training and proper handling of the money. The projects have been giving us their monthly reports on the revenue collected",financial monitoring and reporting,water scheme sustainability,Solution
39,"lack of community ownership...when there is a breakdown, there isn't a lot of effort internally to do repairs and maintenance; they want to still call the organization or the water office to report breakdowns.",community ownership,effort for internal repairs and maintenance,Challenge
39,lack of technical skills in the community to do the operation and maintenance is a challenge. This is coupled with lack of spare parts being readily available in the local market.,community technical skills,operation and maintenance capacity,Challenge
39,"lack of spare parts being readily available in the local market. Like now, for very basic repairs, spare parts have to be bought from either Kitui or Nairobi. Spare parts are not available in Mutomo or in Ikutha towns.",spare parts availability,repair capacity,Challenge
39,The other challenge is low of purchasing power due to lack of funds.,community funds,purchasing power,Challenge
39,The other challenge is low of purchasing power due to lack of funds.,purchasing power,spare parts procurement,Challenge
39,"someone emotionally gives a piece of land but after the facility is set up, they say that they want to get the water for free because it is on their piece of land. Since there was no formal agreement then there are issues.",formal land agreements,facility access disputes,Challenge
39,"there should be frequent training, because like the artisans we trained we can't say all of them are still around. Some of them have gone to look for jobs elsewhere so we need to keep updating in terms of the number of people trained",frequent training,trained artisan availability,Solution
39,we need to keep updating in terms of the number of people trained as well as updating the knowledge and skills.,frequent training,updated technical knowledge and skills,Solution
39,The County government should think of having a policy on maintenance funds and creating a fund for that purpose.,government maintenance fund policy,maintenance funding,Solution
